Keyword,Volume,CPC,KD,SERP
"the surge walkthrough",320,0.00,0,no
"the surge 2 walkthrough",210,0.00,0,no
"surge 2 walkthrough",110,0.00,0,no
"how to play surge",50,0.00,0,no
"surge walkthrough",40,0.00,0,no
"the surge 2 guide",20,0.00,0,no
"the surge strategy guide",10,0.00,,no
"surge best weapons",10,0.00,,no
"surge gameplay tips",0,0.00,,no
"surge game strategies",0,0.00,,no
"surge game guide",0,0.00,,no
"surge combat tips",0,0.00,,no
"surge level up guide",0,0.00,,no
"surge boss fights",0,0.00,,no
"surge character skills",0,0.00,,no
